station,latitude,longitude
Alewife Station,42.39490704766491,-71.14098072052002
Davis Station,42.39606385476378,-71.12205505371094
Porter Square Station,42.3883461218366,-71.11924409866333
Harvard Square Station,42.373939,-71.119106
Central Station,42.36516344770085,-71.10332250595093
Kendall/MIT Station,42.362460226799854,-71.086585521698
Charles/Massachusetts General Hospital Station,42.36127108986245,-71.07208013534546
Park Street Station,42.35619718606788,-71.06229543685913
Downtown Crossing Station,42.355295,-71.060788
South Station,42.351709611022265,-71.05499982833862
Broadway Station,42.3429,-71.05713
Andrew Station,42.32955,-71.05696
JFK / UMass Station,42.32143786294873,-71.05239272117615
JFK / UMass Station,42.32143786294873,-71.05239272117615
Savin Hill Station,42.311307017022905,-71.0532295703888
Fields Corner Station,42.300261981850944,-71.06070756912231
Shawmut Station,42.29279437686293,-71.06578230857849
Ashmont Station,42.285924,-71.064219
Ashmont Station,42.285924,-71.064219
Cedar Grove Station,42.27842011800629,-71.05974197387695
Butler Station,42.27211695157111,-71.06276750564575
Milton Station,42.270346553400415,-71.06794953346252
Central Avenue Station,42.270013109615185,-71.07324957847595
Valley Road Station,42.267893318588435,-71.08306646347046
Capen Street Station,42.26756780129316,-71.08722925186157
Mattapan Station,42.267456648661,-71.09313011169434
JFK / UMass Station,42.32143786294873,-71.05239272117615
North Quincy Station,42.27481611765017,-71.02917551994324
Wollaston Station,42.26561466222263,-71.01940155029297
Quincy Center Station,42.250879,-71.004798
Quincy Adams Station,42.23275157038817,-71.00714921951294
Braintree Station,42.20878042409267,-71.00133419036865
Lechmere Station,42.370582,-71.076884
Science Park Station,42.3666775176796,-71.06816411018372
North Station,42.365512,-71.061423
Haymarket Station,42.362498,-71.058996
Government Center Station,42.359297,-71.059895
Park Street Station,42.35619718606788,-71.06229543685913
Boylston Street Station,42.352391489359306,-71.06487035751343
Arlington Station,42.351868,-71.070498
Copley Station,42.349962,-71.078089
Copley Station,42.349962,-71.078089
Hynes Convention Center/ICA Station,42.348097,-71.088396
Kenmore Station,42.348797,-71.095296
Kenmore Station,42.348797,-71.095296
Blandford Street Station,42.349297,-71.100796
Boston University East Station,42.349648,-71.103825
Boston University Central Station,42.349933521091316,-71.10618710517883
Boston University West Station,42.350900862009205,-71.11407279968262
St. Paul Street Station (B),42.35113080151281,-71.1159074306488
Pleasant Street Station,42.351344882363485,-71.11821413040161
Babcock Street Station,42.351741326457805,-71.12126111984253
Packards Corner Station,42.3520743375646,-71.12486600875854
Harvard Avenue Station,42.35023482559652,-71.13102436065674
Griggs Street / Long Avenue Station,42.34871243015163,-71.13415718078613
Allston Street Station,42.3484428354488,-71.13778352737427
Warren Street Station,42.348474552532686,-71.1402940750122
Washington Street Station,42.34368509163107,-71.1428689956665
Sutherland Street Station,42.34149640856349,-71.14662408828735
Chiswick Road Station,42.34033859612907,-71.15130186080933
Chestnut Hill Avenue Station,42.338086351966545,-71.15334033966064
South Street Station,42.33957728318422,-71.1577820777893
Boston College Station,42.3399420801205,-71.16619348526001
Kenmore Station,42.348797,-71.095296
St. Marys Street Station,42.34613537466565,-71.10680937767029
Hawes Street Station,42.34495385852275,-71.11101508140564
Kent Street Station,42.343997,-71.114596
St. Paul Street Station (C),42.34322515730961,-71.11734509468079
Coolidge Corner Station,42.342097,-71.121396
Summit Avenue (formerly Winchester Street) Station,42.34128229417212,-71.12461924552917
Brandon Hall Station,42.340072,-71.128526
Fairbanks Station,42.33960900474095,-71.13134622573853
Washington Square Station,42.339339370998616,-71.13542318344116
Tappan Street Station,42.33846701861673,-71.13879203796387
Dean Road Station,42.337705683011926,-71.1419677734375
Englewood Avenue Station,42.337134675259264,-71.14512205123901
Cleveland Circle Station,42.33589747400816,-71.15072250366211
Kenmore Station,42.348797,-71.095296
Fenway Station,42.345286905589,-71.10439538955688
Longwood Station,42.34044962016338,-71.11089706420898
Brookline Village Station,42.33204296023296,-71.11811757087708
Brookline Hills Station,42.33121016387881,-71.12586379051208
Beaconsfield Station,42.33596092081828,-71.14160299301147
Reservoir Station,42.33493783319957,-71.14940285682678
Chestnut Hill Station,42.32667321294672,-71.16551756858826
Newton Center Station,42.32935417804916,-71.19231820106506
Newton Highland Station,42.3216996407954,-71.20617985725403
Eliot Station,42.319192874877594,-71.21691942214966
Waban Station,42.326260746635725,-71.23117804527283
Woodland Station,42.33368472646276,-71.24492168426514
Riverside Station,42.337110883157045,-71.25173449516296
Copley Station,42.349962,-71.078089
Prudential Station,42.34563581014697,-71.08158588409424
Symphony Station,42.342697,-71.085095
Northeastern University Station,42.340322735536745,-71.0888922214508
Museum of Fine Arts Station,42.33772154426439,-71.09547972679138
Longwood Medical Area Station,42.335837,-71.100652
Brigham Circle Station,42.334097,-71.104996
Fenwood Road Station,42.33374817550522,-71.1055862903595
Mission Park Station,42.33322471899058,-71.10707759857178
Riverway Station,42.33197950947023,-71.11207723617554
Back of the Hill Station,42.3300759568237,-71.11133694648743
Heath Street Station,42.32875929920691,-71.11059665679932
Bowdoin Station,42.361457,-71.062129
Government Center Station,42.359297,-71.059895
State Station,42.358897,-71.057795
Aquarium Station,42.359456,-71.05357
Maverick Station,42.36886,-71.039926
(Logan) Airport Station,42.37273343268597,-71.03519439697266
Wood Island Station,42.380797,-71.023394
Orient Heights Station,42.386676,-71.006628
Suffolk Downs Station,42.388401591475336,-71.00035786628723
Beachmont Station,42.39741871815673,-70.9921932220459
Revere Beach Station,42.407163364836734,-70.9921932220459
Wonderland Station,42.414246,-70.992144
Oak Grove Station,42.43534301653641,-71.07118964195251
Malden Center Station,42.42731334378719,-71.07387185096741
Wellington Station,42.40429558533948,-71.0770046710968
Sullivan Square Station (Broadway Exit),42.38575484265729,-71.07707977294922
Sullivan Square Station (Cambridge Street Exit),42.38301288338894,-71.07710123062134
Community College Station,42.37263831811535,-71.07027769088745
North Station,42.365512,-71.061423
Haymarket Station,42.362498,-71.058996
State Station,42.358897,-71.057795
Downtown Crossing Station,42.355295,-71.060788
Chinatown Station,42.352228,-71.062892
Tufts (formerly New England) Medical Center Station,42.349873,-71.063795
Back Bay Station,42.34727722151564,-71.07603907585144
Massachusetts Avenue Station (Orange),42.34155191958295,-71.0832166671753
Ruggles Station,42.335667478784956,-71.09052300453186
Roxbury Crossing Station,42.33152742093294,-71.09540462493896
Jackson Square Station,42.32273880877684,-71.10008239746094
Stony Brook Station,42.319200807838655,-71.10282897949219
Green Street Station,42.3105691548223,-71.10731363296509
Forest Hills Station,42.300362,-71.113411
South Station,42.351709611022265,-71.05499982833862
Courthouse Station,42.3520743375646,-71.04530096054077
World Trade Center Station,42.348839297847015,-71.0425329208374
Silver Line Way Station,42.348014653250175,-71.03716850280762
Silver Line Way Station,42.348014653250175,-71.03716850280762
Terminal A,42.364422,-71.021494
Terminal B Stop 1,42.361325,-71.018588
Terminal B Stop 2,42.364441,-71.01882
Terminal C,42.367461,-71.018148
Terminal C,42.370242,-71.020467
Silver Line Way Station,42.348014653250175,-71.03716850280762
Silver Line Way Station,42.348014653250175,-71.03716850280762
306 Northern Avenue,42.34769,-71.035882
Northern Avenue at Harbor Street,42.346619076210494,-71.0352373123169
Northern Avenue at Tide Street,42.34509659319577,-71.03197574615479
21 Dry Dock Avenue,42.344626,-71.031036
25 Dry Dock Avenue,42.344602,-71.028307
88 Black Falcon Avenue,42.3439388470578,-71.02721214294434
Design Center,42.34468,-71.034797
South Station,42.351709611022265,-71.05499982833862
Chinatown Station,42.352228,-71.062892
Chinatown Station,42.352228,-71.062892
Tufts (formerly New England) Medical Center Station,42.349873,-71.063795
Herald Street Station,42.346377,-71.064842
East Berkeley Street Station,42.343878,-71.066039
Union Park Street Station,42.341197,-71.069795
Newton Street Station,42.338697,-71.073795
Worcester Square Station,42.337456,-71.075812
Massachusetts Avenue Station (Silver),42.336441,-71.077238
Lenox Street Station,42.33504886676952,-71.07881784439087
Melnea Cass Boulevard Station,42.33290747049773,-71.08107089996338
Dudley Square Station,42.328894138904225,-71.08511567115784
Tufts (formerly New England) Medical Center Station,42.349873,-71.063795
Boylston Street Station,42.352391489359306,-71.06487035751343
Downtown Crossing Station,42.355295,-71.060788
Chinatown Station,42.352228,-71.062892
Readville,42.23775,-71.132376
Fairmount,42.253638,-71.11927
Morton Street,42.280994,-71.085475
Uphams Corner,42.31867,-71.069072
South Station,42.351709611022265,-71.05499982833862
Fitchburg,42.581739,-71.79275
North Leominster,42.540577,-71.739402
Shirley,42.544726,-71.648363
Ayer,42.560047,-71.590117
Littleton/Route 495,42.519236,-71.502643
South Acton,42.461575,-71.455322
West Concord,42.456372,-71.392371
Concord,42.457147,-71.358051
Lincoln,42.414229,-71.325344
Silver Hill,42.395625,-71.302357
Hastings,42.385755,-71.289203
Kendal Green,42.37897,-71.282411
Brandeis/Roberts,42.361728,-71.260854
Waltham,42.374424,-71.236595
Waverley,42.387489,-71.189864
Belmont Center,42.39842,-71.174499
Porter Square Station,42.3883461218366,-71.11924409866333
North Station,42.365512,-71.061423
Worcester / Union,42.261796,-71.793881
Grafton,42.246291,-71.684614
Westborough,42.269318,-71.652204
Southborough,42.267518,-71.523621
Ashland,42.261694,-71.478813
Framingham,42.276719,-71.416792
West Natick,42.281855,-71.390548
Natick,42.285227,-71.34764
Wellesley Square,42.296427,-71.294311
Wellesley Hills,42.310027,-71.276769
Wellesley Farms,42.323608,-71.272288
Auburndale,42.346087,-71.246658
West Newton,42.348599,-71.22901
Newtonville,42.351603,-71.207338
Yawkey,42.346796,-71.098937
Back Bay Station,42.34727722151564,-71.07603907585144
Back Bay Station,42.34727722151564,-71.07603907585144
South Station,42.351709611022265,-71.05499982833862
Forge Park/Route 495,42.090704,-71.430342
Franklin,42.083591,-71.396735
Norfolk,42.120694,-71.325217
Walpole,42.144192,-71.259016
Plimptonville,42.159123,-71.236125
Windsor Gardens,42.172192,-71.220704
Norwood Central,42.190776,-71.199748
Norwood Depot,42.195668,-71.196784
Islington,42.220714,-71.183406
Dedham Corporate,42.225896,-71.173806
Endicott,42.232881,-71.160413
Readville,42.23775,-71.132376
Hyde Park,42.255121,-71.125022
Hyde Park,42.255121,-71.125022
Ruggles Station,42.335667478784956,-71.09052300453186
Ruggles Station,42.335667478784956,-71.09052300453186
Back Bay Station,42.34727722151564,-71.07603907585144
Greenbush Station,42.1795,-70.746
North Scituate Station,42.2199,-70.7877
Cohasset Station,42.2418,-70.8356
Nantasket Junction Station,42.2448,-70.8697
West Hingham Station,42.2367,-70.9032
East Weymouth Station,42.2191,-70.9214
Weymouth Landing/East Braintree Station,42.2208,-70.9682
Quincy Center Station,42.250879,-71.004798
Quincy Center Station,42.250879,-71.004798
JFK / UMass Station,42.32143786294873,-71.05239272117615
South Station,42.351709611022265,-71.05499982833862
Haverhill,42.772684,-71.085962
Bradford,42.768899,-71.085998
Lawrence,42.700094,-71.159797
Andover,42.657798,-71.144156
Ballardvale,42.626449,-71.159653
North Wilmington,42.568462,-71.159724
Reading,42.52148,-71.10744
Wakefield,42.501811,-71.075
Greenwood,42.483473,-71.067233
Melrose Highlands,42.468793,-71.06827
Melrose/Cedar Park,42.459128,-71.069448
Wyoming Hill,42.452097,-71.069518
Malden Center,42.426407,-71.074227
North Station,42.365512,-71.061423
Lowell,42.638402,-71.314916
North Billerica,42.592881,-71.280869
Wilmington,42.546368,-71.173569
Anderson/Woburn,42.518082,-71.13865
Mishawum,42.503595,-71.137511
Winchester Center,42.45265,-71.137041
Wedgemere,42.445284,-71.140909
West Medford,42.421184,-71.132468
North Station,42.365512,-71.061423
Ballardvale,42.626449,-71.159653
Wilmington,42.546368,-71.173569
Needham Heights,42.293139,-71.235087
Needham Center,42.280274,-71.238089
Needham Junction,42.273327,-71.238007
Hersey,42.275842,-71.214853
West Roxbury,42.2816,-71.159932
Highland,42.284869,-71.1547
Bellevue,42.287138,-71.14606
Roslindale Village,42.287206,-71.12961
Forest Hills Station,42.300362,-71.113411
Ruggles Station,42.335667478784956,-71.09052300453186
Beverly Depot,42.546907,-70.885168
Salem,42.523927,-70.898903
Swampscott,42.473739,-70.922036
Lynn,42.462293,-70.947794
River Works,42.453804,-70.975698
Chelsea,42.39564,-71.034803
North Station,42.365512,-71.061423
Rockport,42.656173,-70.625616
Gloucester,42.616069,-70.668767
West Gloucester,42.610928,-70.706456
Manchester,42.57357,-70.770473
Beverly Farms,42.561403,-70.812745
Prides Crossing,42.559513,-70.824813
Montserrat,42.561483,-70.870035
Beverly Depot,42.546907,-70.885168
Newburyport,42.800292,-70.880262
Rowley,42.725351,-70.859436
Ipswich,42.678355,-70.840024
Hamilton/Wenham,42.610756,-70.874005
North Beverly,42.582471,-70.884501
Beverly Depot,42.546907,-70.885168
Canton Junction,42.163423,-71.153374
Route 128,42.209884,-71.1471
Hyde Park,42.255121,-71.125022
Providence,41.829641,-71.413332
South Attleboro,41.897943,-71.354621
Attleboro,41.942097,-71.284897
Mansfield,42.032734,-71.219318
Sharon,42.124804,-71.183213
Canton Junction,42.163423,-71.153374
Stoughton,42.123818,-71.10309
Canton Center,42.156769,-71.14553
Canton Junction,42.163423,-71.153374
Plymouth,41.981184,-70.692514
Kingston/Route 3,41.978548,-70.720315
Halifax,42.012867,-70.820832
Hanson,42.043262,-70.881553
Whitman,42.083563,-70.923204
Abington,42.108034,-70.935296
South Weymouth,42.153747,-70.95249
Braintree Station,42.20878042409267,-71.00133419036865
Braintree Station,42.20878042409267,-71.00133419036865
Quincy Center Station,42.250879,-71.004798
Middleborough/Lakeville,41.87821,-70.918444
Bridgewater,41.986355,-70.966625
Campello,42.060038,-71.01246
Brockton,42.08572,-71.01686
Montello,42.106047,-71.021078
Holbrook/Randolph,42.155314,-71.027518
Braintree Station,42.20878042409267,-71.00133419036865
